1990,1,1,5160101.4
1990,1,2,5638829.72
1990,1,3,6555589.97
1990,1,4,9663567.52
1990,1,5,9883567.43
1990,1,6,21010779.43
1990,1,7,36667452.33
1990,1,8,65502628.94
1990,1,9,110893942
1990,1,10,174756056.5
1990,1,11,24896230.1
1990,1,12,30208618.5
1991,1,1,638.9728653
1991,1,2,872.5406653
1991,1,3,668.42
1991,1,4,773.56
1991,1,5,661.54
1991,1,6,647.1
1991,1,7,650.15
1991,1,8,636.39
1991,1,9,642.15
1991,1,10,674.38
1991,1,11,712.43
1991,1,12,704.47
1992,1,1,731.1
1992,1,2,721
1992,1,3,724.8
1992,1,4,724.9
1992,1,5,744.7
1992,1,6,736.3
1992,1,7,719.7
1992,1,8,714.5
1992,1,9,713.6
1992,1,10,749.9
1992,1,11,785.5
1992,1,12,771.3
1993,1,1,829.8
1993,1,2,842.8
1993,1,3,823.9
1993,1,4,827.2
1993,1,5,860.1
1993,1,6,888.1
1993,1,7,928.5
1993,1,8,921.7
1993,1,9,918
1993,1,10,948.9
1993,1,11,936.7
1993,1,12,914.3
1994,1,1,913.4
1994,1,2,921.8
1994,1,3,923.8
1994,1,4,934.6
1994,1,5,946
1994,1,6,962.7
1994,1,7,959.1
1994,1,8,974.7
1994,1,9,998.8
1994,1,10,1027
1994,1,11,1054.9
1994,1,12,1030.6
1995,1,1,1039.7
1995,1,2,1039.6
1995,1,3,1036.1
1995,1,4,1037.2
1995,1,5,1041.1
1995,1,6,1061.5
1995,1,7,1082.1
1995,1,8,1060.3
1995,1,9,1085.4
1995,1,10,1132.8
1995,1,11,1181.4
1995,1,12,1149.5
1996,1,1,1155.4
1996,1,2,1155.5
1996,1,3,1166.2
1996,1,4,1169.9
1996,1,5,1209.3
1996,1,6,1221.7
1996,1,7,1251.5
1996,1,8,1233.9
1996,1,9,1249
1996,1,10,1292.7
1996,1,11,1294.8
1996,1,12,1307.2
1997,1,1,1300.3
1997,1,2,1356.7
1997,1,3,1381.1
